,OTU,D,DH,H,Comparison,log2FC
1,1XD42-69 sp009911505,0.000279936,0.000927281,0.000421347,DH_vs_H,1.137998283
2,1XD42-69 sp009911505,0.000279936,0.000927281,0.000421347,DH_vs_D,1.727909886
3,Akkermansia muciniphila_D,1.00E-10,0.000647102,0.096659854,DH_vs_H,-7.222779602
4,Akkermansia muciniphila_D,1.00E-10,0.000647102,0.096659854,DH_vs_D,4.625561965
5,CAG-485 sp002493045,0.003245895,0.002949816,0.018705758,DH_vs_H,-2.664785456
6,CAG-485 sp002493045,0.003245895,0.002949816,0.018705758,DH_vs_D,-0.137991465
7,CAG-873 sp011959565,0.048442059,0.015711571,0.032485619,DH_vs_H,-1.047973724
8,CAG-873 sp011959565,0.048442059,0.015711571,0.032485619,DH_vs_D,-1.624432695
9,CAG-95 sp009917455,0.000453551,0.000117699,0.000632894,DH_vs_H,-2.426863995
10,CAG-95 sp009917455,0.000453551,0.000117699,0.000632894,DH_vs_D,-1.946165983
11,Duncaniella muris,0.00421946,0.000932321,0.000759648,DH_vs_H,0.295495917
12,Duncaniella muris,0.00421946,0.000932321,0.000759648,DH_vs_D,-2.178159327
13,Enterenecus sp004560375,0.000952163,0.00154928,0.005369224,DH_vs_H,-1.793115813
14,Enterenecus sp004560375,0.000952163,0.00154928,0.005369224,DH_vs_D,0.702317258
15,Enterococcus_H_360604 faecalis,0.000783277,0.000294615,4.45E-05,DH_vs_H,2.725780221
16,Enterococcus_H_360604 faecalis,0.000783277,0.000294615,4.45E-05,DH_vs_D,-1.410690397
17,Helicobacter_D ganmani,0.000605347,0.000693012,1.00E-10,DH_vs_H,2.724448655
18,Helicobacter_D ganmani,0.000605347,0.000693012,1.00E-10,DH_vs_D,0.195118137
19,Lactobacillus johnsonii,0.0247573,0.079793354,0.006607701,DH_vs_H,3.594048296
20,Lactobacillus johnsonii,0.0247573,0.079793354,0.006607701,DH_vs_D,1.688414625
