"","estimate","se","pval","Subgroup","sig","index","Species"
"TR...1",0.972492806297602,0.356369023618198,0.00635473885623157,"TR","**","TR","1XD42-69 sp009911505"
"TR...2",-4.31330229009027,0.496681987533165,3.81305241157212e-18,"TR","***","TR","Akkermansia muciniphila_D"
"TR...3",-1.31395244400237,0.234617450767186,2.13853159828165e-08,"TR","***","TR","CAG-485 sp002493045"
"TR...4",-0.94601123952758,0.104543296644469,1.44296872613789e-19,"TR","***","TR","CAG-873 sp011959565"
"TR...5",-1.52939096291749,0.320270870719438,1.79435444826408e-06,"TR","***","TR","CAG-95 sp009917455"
"TR...6",-0.982181500222611,0.283523799492008,0.00053182243477579,"TR","***","TR","Duncaniella muris"
"TR...7",-0.713001282113979,0.373232863868131,0.0560895841544758,"TR","","TR","Enterenecus sp004560375"
"TR...8",-0.339970172794332,0.366113831394852,0.353100855599026,"TR","","TR","Enterococcus_H_360604 faecalis"
"TR...9",0.828392787998542,0.410342684059212,0.0435097905901712,"TR","*","TR","Helicobacter_D ganmani"
"TR...10",1.62689476374955,0.244574589788675,2.89260520276093e-11,"TR","***","TR","Lactobacillus johnsonii"
