,Species,W1(importance),W2W1(importance),W8W1(importance),W9W1(importance),W10W1(importance),MeanDecreaseAccuracy,MeanDecreaseGini,Kingdom,Phylum,Class,Order,Family,Genus
1,Lactobacillus johnsonii,1.002713709,1.002713709,1.348215706,2.165006368,0,2.34876803,0.094208494,D__Bacteria,Firmicutes_D,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
2,Enterococcus_H_360604 faecalis,1.348215706,0,0,1.421920505,0,2.000380581,0.09994852,D__Bacteria,Firmicutes_D,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_H
3,Akkermansia muciniphila_D,1.002713709,1.002713709,1.421920505,0,0,1.989908705,0.072912913,D__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
4,Unclassified_Kurthia,0,1.421920505,0.447455529,1.348215706,1.421920505,1.96709451,0.089283569,D__Bacteria,Firmicutes_D,Bacilli,Bacillales_A,Planococcaceae,Kurthia
5,Unidentified_UBA5905,0,1.348215706,1.421920505,0.447455529,1.679321872,1.961769285,0.086759487,D__Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA5905
6,Unclassified_Faecalibaculum,0,1.746267605,1.002713709,1.421920505,0,1.954006203,0.071835732,D__Bacteria,Firmicutes_D,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
7,CAG-873 sp011959565,1.421920505,1.002713709,0,1.746267605,1.002713709,1.937254927,0.132252252,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873
8,Enterenecus sp004560375,1.002713709,1.002713709,1.002713709,1.746267605,0,1.830077208,0.074010374,D__Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Enterenecus
9,CAG-95 sp009917455,1.002713709,1.002713709,1.348215706,1.002713709,1.002713709,1.81848894,0.073393393,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95
11,Duncaniella muris,-1.002713709,1.002713709,0,1.421920505,1.002713709,1.740157772,0.077078897,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
12,Unclassified_Bifidobacterium,0,1.348215706,1.421920505,1.002713709,1.002713709,1.740157772,0.064856675,D__Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium
13,CAG-485 sp002493045,1.421920505,0,0,1.002713709,0,1.735858159,0.056756757,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485
14,Unidentified_Turicibacter,0,0,1.421920505,1.002713709,0,1.729609674,0.16006435,D__Bacteria,Firmicutes_D,Bacilli,Haloplasmatales_A,Turicibacteraceae,Turicibacter
15,1XD42-69 sp009911505,0,0,0,1.679321872,1.644891266,1.722141466,0.146172146,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,1XD42-69
16,Unclassified_Oscillospiraceae,0,0,0,1.002713709,1.348215706,1.722141466,0.040720721,D__Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Unclassified_Oscillospiraceae
17,Helicobacter_D ganmani,1.421920505,-1.002713709,0,0,1.679321872,1.69038942,0.072427752,D__Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter_D
18,Unclassified_Lachnospiraceae,1.421920505,0,1.002713709,0,1.002713709,1.686128595,0.120664561,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Unclassified_Lachnospiraceae
19,Unclassified_Paramuribaculum,1.002713709,1.002713709,1.421920505,1.002713709,-0.447455529,1.686128595,0.122475332,D__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum
20,Unidentified_CAG-273,1.002713709,1.002713709,0,0,1.348215706,1.686128595,0.05045045,D__Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273
21,Ventrimonas sp003611875,1.002713709,1.421920505,0,1.002713709,1.002713709,1.681692364,0.078163878,D__Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Ventrimonas
23,BX12 sp902363595,1.002713709,0,1.002713709,1.421920505,1.002713709,1.677084509,0.101261261,D__Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,BX12
26,Unidentified_Helicobacter_A,1.002713709,1.002713709,1.002713709,0,1.002713709,1.667421903,0.055319995,D__Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter_A
27,Dubosiella sp000403415,0,1.002713709,0,1.002713709,1.746267605,1.654303861,0.101999142,D__Bacteria,Firmicutes_D,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella
