time,group,logCFU
0,Z_RW,4.02
0,Z_RW,3.98
0,Z_RW,4.07
4,Z_RW,5.19
4,Z_RW,5.18
4,Z_RW,5.19
8,Z_RW,6.33
8,Z_RW,6.31
8,Z_RW,6.3
12,Z_RW,7.18
12,Z_RW,7
12,Z_RW,7.03
16,Z_RW,7.59
16,Z_RW,7.51
16,Z_RW,7.57
20,Z_RW,7.79
20,Z_RW,7.77
20,Z_RW,7.81
24,Z_RW,7.93
24,Z_RW,7.87
24,Z_RW,7.79
28,Z_RW,7.74
28,Z_RW,7.72
28,Z_RW,7.72
32,Z_RW,7.48
32,Z_RW,7.45
32,Z_RW,7.47
36,Z_RW,7.33
36,Z_RW,7.23
36,Z_RW,7.29
0,Z_RW_LOW,3.97
0,Z_RW_LOW,4.04
0,Z_RW_LOW,4.02
4,Z_RW_LOW,5.39
4,Z_RW_LOW,5.31
4,Z_RW_LOW,5.28
8,Z_RW_LOW,6.5
8,Z_RW_LOW,6.49
8,Z_RW_LOW,6.47
12,Z_RW_LOW,7.35
12,Z_RW_LOW,7.38
12,Z_RW_LOW,7.43
16,Z_RW_LOW,7.94
16,Z_RW_LOW,7.83
16,Z_RW_LOW,7.95
20,Z_RW_LOW,7.94
20,Z_RW_LOW,7.96
20,Z_RW_LOW,8.05
24,Z_RW_LOW,8.11
24,Z_RW_LOW,8.8
24,Z_RW_LOW,8.06
28,Z_RW_LOW,7.95
28,Z_RW_LOW,8.1
28,Z_RW_LOW,8.03
32,Z_RW_LOW,7.83
32,Z_RW_LOW,7.92
32,Z_RW_LOW,7.92
36,Z_RW_LOW,7.71
36,Z_RW_LOW,7.61
36,Z_RW_LOW,7.75
0,Z_RW_MEDIUM,3.98
0,Z_RW_MEDIUM,4.02
0,Z_RW_MEDIUM,3.99
4,Z_RW_MEDIUM,5.49
4,Z_RW_MEDIUM,5.58
4,Z_RW_MEDIUM,5.51
8,Z_RW_MEDIUM,6.74
8,Z_RW_MEDIUM,6.8
8,Z_RW_MEDIUM,6.87
12,Z_RW_MEDIUM,7.74
12,Z_RW_MEDIUM,7.88
12,Z_RW_MEDIUM,7.77
16,Z_RW_MEDIUM,8.24
16,Z_RW_MEDIUM,8.07
16,Z_RW_MEDIUM,8.16
20,Z_RW_MEDIUM,8.47
20,Z_RW_MEDIUM,8.44
20,Z_RW_MEDIUM,8.37
24,Z_RW_MEDIUM,8.5
24,Z_RW_MEDIUM,8.5
24,Z_RW_MEDIUM,8.55
28,Z_RW_MEDIUM,8.5
28,Z_RW_MEDIUM,8.44
28,Z_RW_MEDIUM,8.47
32,Z_RW_MEDIUM,8.32
32,Z_RW_MEDIUM,8.3
32,Z_RW_MEDIUM,8.27
36,Z_RW_MEDIUM,8.07
36,Z_RW_MEDIUM,8
36,Z_RW_MEDIUM,8.13
0,Z_RW_HIGH,4
0,Z_RW_HIGH,3.93
0,Z_RW_HIGH,3.9
4,Z_RW_HIGH,5.65
4,Z_RW_HIGH,5.58
4,Z_RW_HIGH,5.6
8,Z_RW_HIGH,6.69
8,Z_RW_HIGH,6.98
8,Z_RW_HIGH,7
12,Z_RW_HIGH,7.98
12,Z_RW_HIGH,7.96
12,Z_RW_HIGH,8.12
16,Z_RW_HIGH,8.38
16,Z_RW_HIGH,8.39
16,Z_RW_HIGH,8.39
20,Z_RW_HIGH,8.53
20,Z_RW_HIGH,8.62
20,Z_RW_HIGH,8.62
24,Z_RW_HIGH,8.71
24,Z_RW_HIGH,8.79
24,Z_RW_HIGH,8.7
28,Z_RW_HIGH,8.66
28,Z_RW_HIGH,8.66
28,Z_RW_HIGH,8.59
32,Z_RW_HIGH,8.5
32,Z_RW_HIGH,8.51
32,Z_RW_HIGH,8.56
36,Z_RW_HIGH,8.29
36,Z_RW_HIGH,8.3
36,Z_RW_HIGH,8.34
